Bela;Bugar;172
Zuzana;Caputova;16616
Martin;Dano;64
Stefan;Harabin;1999
Eduard;Chmelar;540
Marian;Kotleba;545
Milan;Krajniak;382
Jozsef;Menyhart;2
Frantisek;Miklosko;1636
Robert;Mistrik;13
Maros;Sefcovic;2748
Robert;Svec;26
Bohumila;Tauchmannova;36
Juraj;Zabojnik;29
Ivan;Zuzula;28
Bela;Bugar;287
Zuzana;Caputova;5948
Martin;Dano;56
Stefan;Harabin;1154
Eduard;Chmelar;217
Marian;Kotleba;485
Milan;Krajniak;205
Jozsef;Menyhart;3
Frantisek;Miklosko;407
Robert;Mistrik;9
Maros;Sefcovic;1426
Robert;Svec;17
Bohumila;Tauchmannova;16
Juraj;Zabojnik;27
Ivan;Zuzula;14
Bela;Bugar;366
Zuzana;Caputova;25712
Martin;Dano;154
Stefan;Harabin;3587
Eduard;Chmelar;1040
Marian;Kotleba;1206
Milan;Krajniak;607
Jozsef;Menyhart;5
Frantisek;Miklosko;2102
Robert;Mistrik;27
Maros;Sefcovic;5418
Robert;Svec;44
Bohumila;Tauchmannova;41
Juraj;Zabojnik;74
Ivan;Zuzula;69
Bela;Bugar;147
Zuzana;Caputova;5270
Martin;Dano;45
Stefan;Harabin;1012
Eduard;Chmelar;210
Marian;Kotleba;474
Milan;Krajniak;178
Jozsef;Menyhart;2
Frantisek;Miklosko;331
Robert;Mistrik;2
Maros;Sefcovic;1185
Robert;Svec;14
Bohumila;Tauchmannova;15
Juraj;Zabojnik;15
Ivan;Zuzula;16
Bela;Bugar;209
Zuzana;Caputova;13975
Martin;Dano;78
Stefan;Harabin;1868
Eduard;Chmelar;556
Marian;Kotleba;661
Milan;Krajniak;309
Jozsef;Menyhart;1
Frantisek;Miklosko;1031
Robert;Mistrik;21
Maros;Sefcovic;2761
Robert;Svec;35
Bohumila;Tauchmannova;32
Juraj;Zabojnik;64
Ivan;Zuzula;28
Bela;Bugar;101
Zuzana;Caputova;6852
Martin;Dano;57
Stefan;Harabin;1333
Eduard;Chmelar;340
Marian;Kotleba;409
Milan;Krajniak;192
Jozsef;Menyhart;2
Frantisek;Miklosko;618
Robert;Mistrik;16
Maros;Sefcovic;1731
Robert;Svec;5
Bohumila;Tauchmannova;20
Juraj;Zabojnik;18
Ivan;Zuzula;16
Bela;Bugar;16
Zuzana;Caputova;1728
Martin;Dano;12
Stefan;Harabin;279
Eduard;Chmelar;78
Marian;Kotleba;143
Milan;Krajniak;49
Jozsef;Menyhart;0
Frantisek;Miklosko;127
Robert;Mistrik;3
Maros;Sefcovic;409
Robert;Svec;4
Bohumila;Tauchmannova;5
Juraj;Zabojnik;9
Ivan;Zuzula;1
Bela;Bugar;8
Zuzana;Caputova;640
Martin;Dano;1
Stefan;Harabin;77
Eduard;Chmelar;25
Marian;Kotleba;39
Milan;Krajniak;17
Jozsef;Menyhart;0
Frantisek;Miklosko;36
Robert;Mistrik;0
Maros;Sefcovic;101
Robert;Svec;1
Bohumila;Tauchmannova;0
Juraj;Zabojnik;3
Ivan;Zuzula;4
Bela;Bugar;58
Zuzana;Caputova;4959
Martin;Dano;36
Stefan;Harabin;835
Eduard;Chmelar;252
Marian;Kotleba;448
Milan;Krajniak;162
Jozsef;Menyhart;1
Frantisek;Miklosko;350
Robert;Mistrik;7
Maros;Sefcovic;950
Robert;Svec;17
Bohumila;Tauchmannova;20
Juraj;Zabojnik;88
Ivan;Zuzula;22
Bela;Bugar;151
Zuzana;Caputova;10068
Martin;Dano;66
Stefan;Harabin;1833
Eduard;Chmelar;506
Marian;Kotleba;691
Milan;Krajniak;321
Jozsef;Menyhart;1
Frantisek;Miklosko;853
Robert;Mistrik;15
Maros;Sefcovic;2841
Robert;Svec;32
Bohumila;Tauchmannova;26
Juraj;Zabojnik;50
Ivan;Zuzula;37
Bela;Bugar;133
Zuzana;Caputova;11829
Martin;Dano;67
Stefan;Harabin;1674
Eduard;Chmelar;454
Marian;Kotleba;605
Milan;Krajniak;263
Jozsef;Menyhart;5
Frantisek;Miklosko;1040
Robert;Mistrik;16
Maros;Sefcovic;2569
Robert;Svec;20
Bohumila;Tauchmannova;22
Juraj;Zabojnik;41
Ivan;Zuzula;31
Bela;Bugar;42
Zuzana;Caputova;2212
Martin;Dano;11
Stefan;Harabin;503
Eduard;Chmelar;92
Marian;Kotleba;147
Milan;Krajniak;58
Jozsef;Menyhart;0
Frantisek;Miklosko;296
Robert;Mistrik;5
Maros;Sefcovic;662
Robert;Svec;12
Bohumila;Tauchmannova;6
Juraj;Zabojnik;12
Ivan;Zuzula;7
Bela;Bugar;15
Zuzana;Caputova;1914
Martin;Dano;7
Stefan;Harabin;279
Eduard;Chmelar;79
Marian;Kotleba;111
Milan;Krajniak;33
Jozsef;Menyhart;0
Frantisek;Miklosko;138
Robert;Mistrik;3
Maros;Sefcovic;382
Robert;Svec;0
Bohumila;Tauchmannova;6
Juraj;Zabojnik;19
Ivan;Zuzula;1
Bela;Bugar;8
Zuzana;Caputova;571
Martin;Dano;2
Stefan;Harabin;65
Eduard;Chmelar;14
Marian;Kotleba;36
Milan;Krajniak;15
Jozsef;Menyhart;0
Frantisek;Miklosko;65
Robert;Mistrik;0
Maros;Sefcovic;81
Robert;Svec;1
Bohumila;Tauchmannova;2
Juraj;Zabojnik;2
Ivan;Zuzula;1
Bela;Bugar;14
Zuzana;Caputova;967
Martin;Dano;3
Stefan;Harabin;119
Eduard;Chmelar;41
Marian;Kotleba;54
Milan;Krajniak;18
Jozsef;Menyhart;0
Frantisek;Miklosko;39
Robert;Mistrik;2
Maros;Sefcovic;162
Robert;Svec;1
Bohumila;Tauchmannova;3
Juraj;Zabojnik;2
Ivan;Zuzula;1
Bela;Bugar;560
Zuzana;Caputova;31511
Martin;Dano;249
Stefan;Harabin;5902
Eduard;Chmelar;1502
Marian;Kotleba;2381
Milan;Krajniak;1013
Jozsef;Menyhart;3
Frantisek;Miklosko;2678
Robert;Mistrik;34
Maros;Sefcovic;7416
Robert;Svec;89
Bohumila;Tauchmannova;68
Juraj;Zabojnik;133
Ivan;Zuzula;109
Bela;Bugar;48
Zuzana;Caputova;1527
Martin;Dano;5
Stefan;Harabin;155
Eduard;Chmelar;53
Marian;Kotleba;70
Milan;Krajniak;28
Jozsef;Menyhart;0
Frantisek;Miklosko;69
Robert;Mistrik;3
Maros;Sefcovic;233
Robert;Svec;8
Bohumila;Tauchmannova;2
Juraj;Zabojnik;8
Ivan;Zuzula;1
Bela;Bugar;1
Zuzana;Caputova;263
Martin;Dano;5
Stefan;Harabin;45
Eduard;Chmelar;5
Marian;Kotleba;22
Milan;Krajniak;4
Jozsef;Menyhart;0
Frantisek;Miklosko;26
Robert;Mistrik;0
Maros;Sefcovic;39
Robert;Svec;0
Bohumila;Tauchmannova;0
Juraj;Zabojnik;2
Ivan;Zuzula;0
Bela;Bugar;7
Zuzana;Caputova;417
Martin;Dano;2
Stefan;Harabin;161
Eduard;Chmelar;24
Marian;Kotleba;142
Milan;Krajniak;19
Jozsef;Menyhart;0
Frantisek;Miklosko;17
Robert;Mistrik;1
Maros;Sefcovic;208
Robert;Svec;3
